{$p$ / mbar};{count};{channel}
   0;67653;1251
  50;66720;1248
 100;66429;1200
 150;66413;1167
 200;65531;1152
 250;65111;1068
 300;65124;1023
 350;63854; 975
 400;63410; 967
 450;61449; 926
 500;61302; 896
 550;58850; 847
 600;57827; 799
 650;53067; 743
 700;47575; 704
 725;41566; 687
 750;35397; 655
 775;29017; 640
 800;23405; 632
 825;15651; 634
 850; 9099; 634
 875; 4997; 632
 900; 2708; 631
 925; 1119; 632
 950;  382; 638
 975;   72; 640
1000;   35; 634
